,stop_id,car_id,timestamp
0,0.0,1.0,2014-01-06 07:57:01
1,1.0,1.0,2014-01-06 12:17:01
2,2.0,1.0,2014-01-06 13:25:01
3,1.0,1.0,2014-01-06 17:44:01
4,3.0,1.0,2014-01-06 19:36:01
5,4.0,1.0,2014-01-06 19:49:01
6,4.0,1.0,2014-01-06 20:27:01
7,3.0,1.0,2014-01-06 22:11:01
8,1.0,1.0,2014-01-06 23:01:01
9,1.0,1.0,2014-01-07 01:10:01
10,3.0,1.0,2014-01-07 03:20:01
11,3.0,1.0,2014-01-07 07:20:01
12,0.0,1.0,2014-01-07 07:56:01
13,1.0,1.0,2014-01-07 12:09:01
14,5.0,1.0,2014-01-07 13:43:01
15,1.0,1.0,2014-01-07 17:40:01
16,3.0,1.0,2014-01-07 18:51:01
17,6.0,1.0,2014-01-07 20:42:01
18,3.0,1.0,2014-01-07 20:52:01
19,3.0,1.0,2014-01-08 07:47:01
20,0.0,1.0,2014-01-08 08:00:01
21,1.0,1.0,2014-01-08 12:08:01
22,2.0,1.0,2014-01-08 13:48:01
23,1.0,1.0,2014-01-08 17:51:01
24,3.0,1.0,2014-01-08 19:18:01
25,6.0,1.0,2014-01-08 21:22:01
26,1.0,1.0,2014-01-08 21:29:01
27,1.0,1.0,2014-01-08 23:53:01
28,3.0,1.0,2014-01-09 03:20:01
29,3.0,1.0,2014-01-09 07:21:01
30,0.0,1.0,2014-01-09 07:51:01
31,1.0,1.0,2014-01-09 12:09:01
32,7.0,1.0,2014-01-09 13:45:01
33,1.0,1.0,2014-01-09 17:48:01
34,3.0,1.0,2014-01-10 07:50:01
35,0.0,1.0,2014-01-10 08:08:01
36,1.0,1.0,2014-01-10 12:21:01
37,6.0,1.0,2014-01-10 13:21:01
38,1.0,1.0,2014-01-10 17:34:01
39,3.0,1.0,2014-01-10 19:10:01
40,8.0,1.0,2014-01-10 23:32:01
41,3.0,1.0,2014-01-11 12:40:01
42,2.0,1.0,2014-01-11 13:41:01
43,4.0,1.0,2014-01-11 15:36:01
44,3.0,1.0,2014-01-11 15:49:01
